fid, median_aud_2011_12, median_age_of_earners_years_2014_15, sum_aud_2016_17, sum_aud_2011_12, median_aud_2014_15, median_age_of_earners_years_2013_14, median_age_of_earners_years_2012_13, median_aud_2013_14, median_age_of_earners_years_2017_18, sum_aud_2014_15, median_aud_2015_16, earners_persons_2011_12, mean_aud_2013_14, median_age_of_earners_years_2016_17, median_aud_2016_17, median_age_of_earners_years_2015_16, main_source_pc_of_earners_2016_17, main_source_pc_of_earners_2017_18, mean_aud_2011_12, mean_aud_2012_13, median_aud_2017_18, main_source_pc_of_earners_2013_14, earners_persons_2015_16, earners_persons_2013_14, mean_aud_2016_17, sum_aud_2012_13, mean_aud_2015_16, sa2_code, median_age_of_earners_years_2011_12, earners_persons_2012_13, sa2_name, median_aud_2012_13, mean_aud_2014_15, main_source_pc_of_earners_2012_13, main_source_pc_of_earners_2015_16, sum_aud_2015_16, mean_aud_2017_18, main_source_pc_of_earners_2014_15, earners_persons_2014_15, main_source_pc_of_earners_2011_12, earners_persons_2017_18, earners_persons_2016_17, sum_aud_2013_14, sum_aud_2017_18
15,null,null,634423.0,null,null,null,null,null,50.0,null,null,null,null,49.0,32567.0,null,70.6,75.0,null,null,37815.0,null,null,null,45316.0,null,null,"101041022",null,null,"Deua - Wadbilliga",null,null,null,null,null,56446.0,null,null,null,14.0,14.0,null,790246.0
131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"107011133",null,null,"Port Kembla Industrial",null,null,null,null,null,null,null,null,null,null,null,null,null
232,null,null,674925.0,null,null,null,null,null,42.0,null,null,null,null,46.0,40249.0,null,72.7,78.6,null,null,50825.0,null,null,null,56244.0,null,null,"111031230",null,null,"Newcastle Port - Kooragang",null,null,null,null,null,55354.0,null,null,null,10.0,12.0,null,553539.0
279,null,null,1041594.0,null,null,null,null,null,56.0,null,null,null,null,54.0,52346.0,null,53.3,57.1,null,null,56712.0,null,null,null,61270.0,null,null,"114011275",null,null,"Ettrema - Sassafras - Budawang",null,null,null,null,null,56265.0,null,null,null,16.0,17.0,null,900242.0
458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"123021439",null,null,"Holsworthy Military Area",null,null,null,null,null,null,null,null,null,null,null,null,null
475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"124021456",null,null,"Blue Mountains - South",null,null,null,null,null,null,null,null,null,null,null,null,null
571,null,null,null,null,null,null,null,null,33.0,null,null,null,null,35.0,38454.0,null,85.7,90.9,null,null,30913.0,null,null,null,null,null,null,"128021537",null,null,"Royal National Park",null,null,null,null,null,49225.0,null,null,null,14.0,4.0,null,689147.0
667,null,null,null,null,null,null,null,null,44.0,null,null,null,null,null,null,null,null,100.0,null,null,61614.0,null,null,null,null,null,null,"205031092",null,null,"Wilsons Promontory",null,null,null,null,null,68186.0,null,null,null,11.0,null,null,750050.0
1253,63250.0,null,null,1692487.0,null,null,null,null,29.0,null,null,20.0,null,40.0,63248.0,null,75.0,83.3,84624.0,null,57617.0,null,null,null,null,null,null,"308051532",34.0,null,"Callemondah",null,null,null,null,null,66333.0,null,null,91.3,7.0,8.0,null,464332.0
1317,null,null,299949.0,null,null,null,null,null,40.0,null,null,null,null,39.0,87754.0,null,100.0,100.0,null,null,94248.0,null,null,null,99983.0,null,null,"310021279",null,null,"Lake Manchester - England Creek",null,null,null,null,null,102226.0,null,null,null,4.0,3.0,null,408905.0
1398,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"312031360",null,null,"Cape Conway",null,null,null,null,null,null,null,null,null,null,null,null,null
1669,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"404021103",null,null,"Torrens Island",null,null,null,null,null,null,null,null,null,null,null,null,null
1703,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"406011137",null,null,"Whyalla - North",null,null,null,null,null,null,null,null,null,null,null,null,null
1791,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"504021052",null,null,"Malmalling - Reservoir",null,null,null,null,null,null,null,null,null,null,null,null,null
2058,null,null,787855.0,null,null,null,null,null,27.0,null,null,null,null,32.0,33180.0,null,72.7,75.0,null,null,28561.0,null,null,null,52524.0,null,null,"603011068",null,null,"Wilderness - East",null,null,null,null,null,53486.0,null,null,null,14.0,15.0,null,748799.0
2088,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"604031098",null,null,"Wilderness - West",null,null,null,null,null,null,null,null,null,null,null,null,null
2183,null,null,375470.0,null,null,null,null,null,null,null,null,null,null,50.0,146764.0,null,100.0,null,null,null,null,null,null,null,125157.0,null,null,"801011111",null,null,"Molonglo Corridor",null,null,null,null,null,null,null,null,null,null,3.0,null,null
