f_m1_other_55_64, f_m1_bicycle_tot, f_m1_carasdriv_tot, m_m2_bustot_25_34, f_m1_tot_m1_45_54, m_mt_ns_tot, m_m2_other_m2_tot, f_m1_caraspas_25_34, f_m1_carasdriv_15_24, f_m1_bus_65_74, m_m3_trn_and_2_oth_ms_55_64, m_m3_bus2othms_ex_tn_75ov, m_m3_tot_m3_35_44, m_tot_55_64, f_m1_caraspas_15_24, m_wkd_at_home_65_74, f_m1_bicycle_35_44, f_m1_carasdriv_25_34, f_m1_wlkonly_25_34, f_m1_tram_inc_lr_75ov, f_m1_taxi_75ov, f_m2_trnbus_45_54, f_m1_bus_25_34, m_m3_other_m3_tot, f_m1_mbikescoot_55_64, m_did_not_go_to_work_65_74, m_m2_tot_m2_25_34, m_m3_bus2othms_ex_tn_tot, f_m1_carasdriv_75ov, m_m2_other_m2_75ov, f_m1_tram_inc_lr_tot, f_m2_trnbus_65_74, m_m2_bustot_45_54, m_wkd_at_home_75ov, f_m1_train_65_74, f_m2_trnbus_55_64, f_m1_bicycle_25_34, m_m3_trn_and_2_oth_ms_45_54, m_tot_65_74, m_m2_bustot_75ov, f_m1_wlkonly_45_54, f_m1_mbikescoot_75ov, m_did_not_go_to_work_15_24, f_m1_ferry_15_24, f_m1_other_65_74, f_m1_mbikescoot_25_34, m_did_not_go_to_work_35_44, m_m2_other_m2_35_44, f_m2_trnbus_35_44, m_m3_other_m3_65_74, m_tot_tot, f_m1_other_15_24, f_m1_mbikescoot_65_74, m_tot_75ov, m_m3_tot_m3_25_34, f_m1_tram_inc_lr_35_44, m_m2_tot_m2_75ov, m_m3_other_m3_75ov, f_m1_bicycle_15_24, m_m3_bus2othms_ex_tn_45_54, f_m1_carasdriv_65_74, m_m3_trn_and_2_oth_ms_75ov, m_wkd_at_home_tot, f_m1_other_75ov, m_m2_tot_m2_45_54, f_m1_carasdriv_45_54, f_m1_ferry_75ov, m_m3_other_m3_25_34, f_m1_truck_35_44, m_m3_bus2othms_ex_tn_15_24, m_did_not_go_to_work_tot, m_m2_other_m2_25_34, f_m1_wlkonly_15_24, f_m1_mbikescoot_35_44, f_m1_tot_m1_35_44, m_m3_tot_m3_tot, m_m2_bustot_tot, f_m1_tram_inc_lr_65_74, f_m1_other_25_34, m_m3_other_m3_45_54, f_m1_taxi_15_24, f_m1_truck_15_24, sa2_name16, m_mt_ns_25_34, m_m3_bus2othms_ex_tn_55_64, f_m1_bicycle_75ov, m_wkd_at_home_35_44, f_m1_truck_tot, m_tot_15_24, m_wkd_at_home_55_64, m_m2_tot_m2_35_44, m_m3_tot_m3_15_24, f_m1_truck_25_34, m_m3_other_m3_55_64, f_m1_other_45_54, f_m1_ferry_tot, m_wkd_at_home_15_24, m_did_not_go_to_work_25_34, m_m3_bus2othms_ex_tn_65_74, m_mt_ns_35_44, f_m1_caraspas_35_44, f_m1_taxi_55_64, m_m2_tot_m2_55_64, f_m1_tot_m1_65_74, f_m1_other_35_44, f_m1_bicycle_65_74, f_m1_ferry_65_74, f_m1_wlkonly_75ov, m_m2_other_m2_15_24, m_m2_tot_m2_15_24, f_m1_bus_45_54, f_m1_tram_inc_lr_55_64, m_did_not_go_to_work_75ov, m_mt_ns_75ov, f_m1_taxi_25_34, f_m1_bicycle_55_64, f_m1_caraspas_tot, f_m1_ferry_45_54, f_m1_train_45_54, f_m1_carasdriv_35_44, f_m1_train_75ov, f_m2_trnbus_15_24, f_m1_carasdriv_55_64, m_m2_bustot_35_44, f_m1_tram_inc_lr_25_34, f_m1_taxi_tot, m_tot_25_34, m_m3_tot_m3_75ov, f_m1_taxi_35_44, m_m3_other_m3_35_44, f_m1_tot_m1_tot, f_m1_truck_65_74, f_m1_bicycle_45_54, f_m1_tram_inc_lr_15_24, m_wkd_at_home_25_34, f_m1_train_25_34, f_m1_bus_35_44, f_m1_train_15_24, f_m1_other_tot, f_m1_bus_55_64, f_m2_trnbus_tot, m_m3_tot_m3_65_74, f_m1_caraspas_75ov, m_mt_ns_55_64, f_m1_truck_45_54, f_m2_trnbus_75ov, m_m2_tot_m2_tot, f_m1_taxi_65_74, f_m1_ferry_35_44, f_m1_caraspas_65_74, f_m1_tot_m1_55_64, f_m1_tot_m1_25_34, f_m1_mbikescoot_45_54, m_did_not_go_to_work_55_64, m_m2_bustot_55_64, m_m3_trn_and_2_oth_ms_15_24, m_mt_ns_45_54, f_m1_train_tot, m_m2_other_m2_55_64, f_m1_tram_inc_lr_45_54, m_m3_tot_m3_45_54, f_m1_bus_tot, f_m1_wlkonly_tot, m_tot_45_54, f_m1_bus_75ov, f_m1_wlkonly_55_64, f_m1_train_35_44, f_m1_wlkonly_65_74, m_m2_bustot_15_24, sa2_main16, m_m3_bus2othms_ex_tn_35_44, f_m1_truck_55_64, m_m2_other_m2_65_74, m_m3_trn_and_2_oth_ms_25_34, m_m3_trn_and_2_oth_ms_tot, m_m3_other_m3_15_24, f_m1_tot_m1_75ov, f_m1_caraspas_55_64, m_did_not_go_to_work_45_54, m_m2_other_m2_45_54, f_m1_wlkonly_35_44, m_m2_tot_m2_65_74, m_mt_ns_15_24, f_m1_tot_m1_15_24, f_m1_taxi_45_54, f_m1_caraspas_45_54, f_m2_trnbus_25_34, f_m1_bus_15_24, m_m3_trn_and_2_oth_ms_35_44, m_mt_ns_65_74, f_m1_train_55_64, m_m3_tot_m3_55_64, m_tot_35_44, m_m3_bus2othms_ex_tn_25_34, m_m2_bustot_65_74, f_m1_ferry_55_64, m_m3_trn_and_2_oth_ms_65_74, f_m1_ferry_25_34, f_m1_truck_75ov, f_m1_mbikescoot_15_24, f_m1_mbikescoot_tot, m_wkd_at_home_45_54
3,0,242,0,98,10,3,4,18,0,0,0,0,118,3,33,0,29,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,17,0,0,0,0,77,0,12,0,6,0,4,0,3,0,0,0,540,0,0,39,0,0,0,0,0,0,10,0,104,0,0,84,0,0,0,0,39,0,8,0,48,0,0,0,0,0,0,0,"Braidwood",0,0,0,13,0,42,25,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,43,0,0,56,0,0,0,58,0,0,0,328,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,82,40,0,13,0,0,3,0,0,0,0,0,58,122,0,10,0,7,0,"101021007",0,0,0,0,0,0,3,9,10,0,7,0,3,35,0,3,0,0,0,3,0,0,78,0,0,0,0,0,0,0,0,17
0,0,292,0,105,7,0,5,33,0,0,0,0,71,10,3,0,41,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,8,0,0,0,3,0,0,0,350,0,0,3,0,0,0,0,0,0,11,0,23,0,0,92,0,0,0,0,35,0,3,0,72,0,0,0,0,0,0,0,"Karabar",0,0,0,3,0,76,9,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,27,0,0,70,0,0,55,0,0,0,68,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,45,0,7,0,0,0,0,0,0,0,0,18,64,0,6,0,0,0,"101021008",0,0,0,0,0,0,0,4,5,0,3,0,3,46,0,4,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,3
0,0,80,0,40,5,7,0,10,0,0,0,0,81,3,26,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,64,0,3,0,0,0,0,0,0,3,0,0,423,0,0,38,0,0,0,0,0,0,3,0,116,0,0,23,0,0,0,0,26,0,4,0,28,0,0,0,0,0,0,0,"Cooma Region",0,0,0,5,0,26,26,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,22,0,0,8,0,0,0,47,0,0,0,126,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,7,0,7,0,0,0,0,0,0,0,0,26,104,0,3,0,6,0,"101031015",0,0,0,0,0,0,0,3,8,0,3,0,3,19,0,5,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,27
6,7,973,0,321,29,21,49,185,0,0,0,5,344,83,25,0,183,120,0,0,0,0,0,0,13,26,0,6,0,0,0,0,7,0,0,0,0,113,0,53,0,49,0,3,0,25,7,0,0,2406,12,0,16,8,0,0,0,0,0,34,0,191,0,16,243,0,0,0,0,190,9,109,0,265,24,3,0,10,0,0,0,"Jindabyne - Berridale",3,0,0,27,0,566,54,10,8,0,0,3,0,17,43,0,7,11,0,10,47,4,0,0,0,4,54,0,0,3,0,0,0,166,0,5,203,0,0,123,0,0,0,568,0,0,0,1573,0,3,0,20,3,3,4,36,3,0,0,0,0,0,0,114,0,0,0,164,364,0,34,0,8,10,16,3,0,0,11,359,418,0,27,0,5,0,"101031016",0,0,0,8,17,0,8,8,27,5,37,0,7,403,0,15,0,4,0,5,4,0,385,0,0,0,0,0,0,0,0,36
3,9,1539,0,487,21,14,14,172,0,0,0,0,416,58,11,3,233,11,0,0,0,0,0,0,9,3,0,3,0,0,0,0,3,0,0,0,0,104,0,10,0,48,0,0,0,31,0,0,0,1987,0,0,16,0,0,0,0,0,0,48,0,46,0,3,445,0,0,0,0,189,3,8,0,365,0,3,0,0,0,0,0,"Batemans Bay",0,0,0,5,0,311,18,0,0,0,0,0,0,0,33,0,6,21,0,0,50,0,0,0,0,3,6,3,0,4,3,0,0,153,0,0,327,0,0,315,0,0,0,333,0,0,0,1769,0,0,0,4,0,4,0,6,0,0,0,0,7,0,0,17,0,0,4,351,259,0,35,0,0,3,0,0,0,0,15,50,418,0,13,0,0,3,"101041017",0,0,0,0,0,0,3,21,34,3,7,0,9,250,0,30,0,11,0,0,0,0,394,0,0,0,0,0,0,0,0,5
3,0,432,0,137,0,3,0,36,0,0,0,0,119,13,5,0,55,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,46,0,6,0,7,0,0,0,5,0,0,0,470,0,0,7,0,0,0,0,0,0,12,0,51,0,0,122,0,0,0,0,36,0,4,0,106,0,0,0,0,0,0,0,"Batemans Bay - South",0,0,0,8,0,43,15,0,0,0,0,0,0,0,0,0,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,89,0,0,123,0,0,0,60,0,0,0,508,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,142,59,0,10,0,0,0,0,0,0,0,0,28,123,0,10,0,0,0,"101041018",0,0,0,0,0,0,3,6,11,0,5,0,0,51,0,6,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,13
0,9,1861,0,625,24,22,11,191,0,0,0,0,554,57,11,3,257,11,0,0,0,0,0,0,10,4,0,3,0,0,0,0,8,0,0,0,0,113,0,34,0,45,0,0,0,36,3,0,0,2405,0,0,25,0,0,0,0,0,0,69,0,83,0,11,558,0,0,0,0,264,4,21,0,402,0,3,0,0,0,0,0,"Bega - Tathra",0,0,0,17,0,293,28,3,0,0,0,0,0,3,35,0,3,14,0,5,88,3,0,0,0,3,3,0,0,3,0,0,0,143,0,0,359,0,0,421,0,0,0,348,0,0,0,2146,0,4,0,0,0,0,0,9,0,0,0,0,4,0,0,22,0,0,7,475,290,0,70,0,0,0,0,7,0,0,7,118,642,0,26,0,8,0,"101041019",0,0,0,0,0,0,3,20,56,8,20,0,10,268,0,32,0,4,0,4,0,0,435,0,0,0,0,0,0,0,3,17
5,0,216,0,78,11,4,0,16,0,0,0,0,255,5,53,0,27,6,0,0,0,0,3,0,9,0,0,3,0,0,0,0,21,0,0,0,0,108,0,5,0,12,0,0,0,4,0,0,0,851,0,0,37,0,0,0,0,0,0,5,0,210,0,0,61,0,0,0,0,69,0,3,0,52,3,0,0,0,0,0,0,"Bega-Eden Hinterland",0,0,0,24,5,73,61,0,0,0,3,3,0,0,4,0,0,0,0,0,16,3,0,0,0,0,0,0,0,3,0,0,0,13,0,0,39,0,0,61,0,0,0,76,0,0,0,295,0,0,0,10,0,0,0,12,0,0,0,0,3,0,0,5,0,0,3,82,44,0,14,0,0,0,0,0,0,0,6,42,188,0,10,0,3,0,"101041020",0,0,0,0,0,0,3,0,12,0,5,0,4,25,0,3,0,0,0,3,0,3,122,0,0,0,0,0,0,0,0,38
0,7,238,0,86,7,5,0,31,0,0,0,0,55,3,8,0,30,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,12,0,8,0,6,0,0,0,0,0,0,0,320,0,0,3,0,0,0,0,3,0,0,0,26,0,0,72,0,0,0,0,25,0,3,0,76,0,0,0,0,0,0,0,"Broulee - Tomakin",3,0,0,5,0,46,3,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,72,0,0,38,0,0,0,46,0,0,0,292,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,51,33,0,3,0,0,0,0,0,0,0,0,23,97,0,4,0,0,0,"101041021",0,0,0,0,0,0,0,0,0,0,5,0,0,35,0,9,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,8
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deua - Wadbilliga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101041022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
