m_m2_bustrm_inc_lr_45_54, m_m2_trnbus_tot, m_m1_ferry_25_34, m_m2_busoth_75ov, m_m2_trncarasdriv_65_74, m_m1_tram_inc_lr_65_74, m_m1_taxi_tot, m_m1_carasdriv_25_34, m_m1_carasdriv_tot, m_m2_trnfer_25_34, m_m1_train_15_24, m_m1_mbikescoot_45_54, m_m1_truck_tot, m_m2_bustrm_inc_lr_25_34, m_m1_truck_35_44, m_m2_busoth_25_34, m_m1_taxi_75ov, m_m1_other_tot, m_m1_ferry_15_24, m_m2_bustrm_inc_lr_55_64, m_m2_trnoth_55_64, m_m2_trntrm_inc_lr_55_64, m_m1_wlkonly_25_34, m_m2_busoth_15_24, m_m1_bicycle_45_54, m_m2_trntrm_inc_lr_35_44, m_m1_ferry_45_54, m_m2_busfer_55_64, m_m2_trnfer_15_24, m_m1_mbikescoot_65_74, m_m1_taxi_25_34, m_m2_buscarasdriv_35_44, m_m1_mbikescoot_55_64, m_m2_trnoth_25_34, m_m1_bicycle_25_34, m_m2_busoth_45_54, m_m2_trntrm_inc_lr_65_74, m_m2_trnbus_35_44, m_m2_busoth_35_44, m_m1_tot_m1_35_44, m_m2_trncarasdriv_15_24, m_m1_tot_m1_55_64, m_m2_trnoth_65_74, m_m1_taxi_65_74, m_m1_tot_m1_65_74, m_m2_trncarasdriv_25_34, m_m1_caraspas_15_24, m_m2_train_and_tot_35_44, m_m1_truck_75ov, m_m1_tot_m1_tot, m_m1_wlkonly_75ov, m_m1_wlkonly_65_74, m_m1_carasdriv_35_44, m_m1_other_25_34, m_m2_buscaraspas_65_74, m_m2_bustrm_inc_lr_tot, m_m1_bus_15_24, m_m2_busfer_65_74, m_m2_train_and_tot_45_54, m_m2_busfer_45_54, m_m1_other_45_54, m_m1_bus_55_64, m_m1_mbikescoot_25_34, m_m2_trnbus_55_64, m_m1_ferry_65_74, m_m2_trnbus_65_74, m_m2_trnbus_45_54, m_m1_truck_65_74, m_m2_train_and_tot_tot, m_m2_trntrm_inc_lr_tot, m_m1_caraspas_35_44, m_m2_trntrm_inc_lr_75ov, m_m1_wlkonly_35_44, m_m2_train_and_tot_75ov, m_m2_trncarasdriv_45_54, m_m2_busfer_15_24, m_m1_caraspas_tot, m_m1_tram_inc_lr_35_44, m_m2_trncarasdriv_35_44, m_m2_bustrm_inc_lr_35_44, m_m1_taxi_15_24, m_m1_carasdriv_75ov, sa2_name16, m_m1_wlkonly_15_24, m_m2_buscarasdriv_65_74, m_m2_trnbus_25_34, m_m1_ferry_35_44, m_m2_trnoth_45_54, m_m1_carasdriv_65_74, m_m1_caraspas_25_34, m_m2_buscaraspas_55_64, m_m1_mbikescoot_tot, m_m2_trncaraspas_15_24, m_m1_truck_25_34, m_m1_other_75ov, m_m1_tram_inc_lr_25_34, m_m2_buscaraspas_15_24, m_m2_trnoth_15_24, m_m1_bicycle_15_24, m_m1_tot_m1_75ov, m_m1_truck_45_54, m_m1_taxi_45_54, m_m1_other_55_64, m_m1_other_65_74, m_m2_buscarasdriv_55_64, m_m1_truck_15_24, m_m1_train_35_44, m_m2_trnoth_35_44, m_m1_bus_45_54, m_m2_bustrm_inc_lr_15_24, m_m2_trntrm_inc_lr_45_54, m_m2_trnfer_45_54, m_m1_caraspas_75ov, m_m1_other_15_24, m_m1_bus_75ov, m_m1_bicycle_tot, m_m1_tram_inc_lr_45_54, m_m2_buscaraspas_75ov, m_m1_mbikescoot_15_24, m_m2_buscaraspas_25_34, m_m1_bus_65_74, m_m2_buscaraspas_35_44, m_m2_trnfer_tot, m_m2_trnoth_tot, m_m2_trncaraspas_75ov, m_m1_tram_inc_lr_75ov, m_m1_train_65_74, m_m2_trnfer_65_74, m_m1_train_45_54, m_m1_bus_25_34, m_m2_trnfer_55_64, m_m2_busfer_35_44, m_m2_trncaraspas_65_74, m_m2_bustrm_inc_lr_75ov, m_m2_trnbus_15_24, m_m1_tot_m1_25_34, m_m1_bicycle_75ov, m_m2_buscaraspas_45_54, m_m2_trntrm_inc_lr_25_34, m_m1_tram_inc_lr_tot, m_m2_trnbus_75ov, m_m1_bicycle_55_64, m_m1_taxi_35_44, m_m2_trncarasdriv_75ov, m_m2_trncaraspas_25_34, m_m2_train_and_tot_15_24, m_m1_bicycle_35_44, m_m2_train_and_tot_25_34, m_m1_tot_m1_45_54, m_m2_trnfer_35_44, m_m2_buscarasdriv_25_34, m_m2_train_and_tot_55_64, m_m1_train_55_64, m_m1_bus_tot, m_m1_wlkonly_55_64, m_m2_busoth_tot, m_m2_busoth_65_74, m_m1_taxi_55_64, m_m2_trnoth_75ov, m_m2_buscarasdriv_tot, m_m1_mbikescoot_75ov, m_m1_tram_inc_lr_15_24, m_m2_bustrm_inc_lr_65_74, m_m1_ferry_55_64, m_m1_caraspas_45_54, m_m1_mbikescoot_35_44, m_m2_buscarasdriv_45_54, m_m1_tram_inc_lr_55_64, m_m1_caraspas_55_64, m_m1_wlkonly_45_54, m_m2_buscarasdriv_75ov, m_m1_bus_35_44, m_m2_busfer_25_34, m_m1_train_tot, m_m2_buscarasdriv_15_24, m_m2_buscaraspas_tot, m_m2_trntrm_inc_lr_15_24, m_m1_carasdriv_55_64, m_m1_bicycle_65_74, m_m1_ferry_tot, m_m2_trncaraspas_35_44, m_m1_carasdriv_15_24, m_m2_busoth_55_64, sa2_main16, m_m2_busfer_75ov, m_m1_other_35_44, m_m2_trncarasdriv_tot, m_m2_trncaraspas_45_54, m_m2_trncarasdriv_55_64, m_m1_caraspas_65_74, m_m2_train_and_tot_65_74, m_m1_train_25_34, m_m2_trnfer_75ov, m_m1_carasdriv_45_54, m_m2_trncaraspas_55_64, m_m1_ferry_75ov, m_m2_trncaraspas_tot, m_m1_tot_m1_15_24, m_m1_truck_55_64, m_m2_busfer_tot, m_m1_wlkonly_tot, m_m1_train_75ov
0,0,0,0,0,0,0,33,268,0,0,0,21,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,56,0,83,0,0,40,0,5,0,0,380,5,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,5,0,0,0,13,0,0,0,0,10,"Braidwood",4,0,0,0,0,19,3,0,3,0,3,0,0,0,0,0,22,6,0,5,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,55,0,0,0,16,0,"101021007",0,0,0,0,0,0,0,0,0,78,0,0,0,37,4,0,50,0
0,0,0,0,0,0,0,56,238,0,0,0,7,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,56,0,0,14,0,14,0,0,289,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,"Karabar",7,0,0,0,0,14,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,40,0,0,0,46,0,"101021008",0,0,0,0,0,0,0,0,0,49,0,0,0,64,5,0,13,0
0,0,0,0,0,0,0,31,193,0,0,0,18,0,5,0,0,7,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,55,0,52,0,0,33,0,3,0,0,274,5,8,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,12,0,0,0,0,3,"Cooma Region",4,0,0,0,0,20,6,0,3,0,0,0,0,0,0,0,7,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,34,0,0,0,13,0,"101031015",0,0,0,0,0,0,0,0,0,51,0,0,0,22,8,0,38,0
0,8,0,0,0,0,0,227,1110,0,6,3,22,0,0,0,0,75,0,0,0,0,146,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,320,26,242,0,0,68,16,92,9,3,1862,0,8,214,20,0,0,5,0,9,0,11,3,0,0,0,0,0,0,91,0,12,0,63,0,9,0,174,0,9,0,0,0,"Jindabyne - Berridale",107,0,0,0,0,47,56,0,6,17,0,0,0,0,0,0,3,8,0,12,6,0,0,0,0,0,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,465,0,0,0,0,0,3,0,0,4,51,8,15,329,0,0,4,0,19,33,0,0,0,0,0,0,0,0,0,7,3,0,0,3,54,0,0,0,18,0,3,0,177,0,0,0,198,0,"101031016",0,13,61,0,8,0,0,6,0,241,0,0,21,430,7,0,414,0
0,0,0,0,0,0,4,256,1476,0,0,0,37,0,3,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,346,0,365,0,0,79,0,48,0,0,1712,0,4,312,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,16,0,3,0,0,0,97,0,0,0,0,10,"Batemans Bay",16,0,0,0,0,76,20,0,9,0,0,0,0,3,0,7,7,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,5,0,0,0,0,0,0,367,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,9,0,0,0,3,11,0,0,0,0,0,3,0,325,0,0,0,174,0,"101041017",0,3,0,0,0,0,0,0,0,326,0,0,0,251,16,0,46,0
0,0,0,0,0,0,0,45,295,0,0,3,20,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,92,0,0,34,0,10,0,0,384,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,23,0,0,0,0,0,"Batemans Bay - South",5,0,0,0,0,27,0,0,6,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,3,0,0,0,0,0,0,95,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,73,0,0,0,22,0,"101041018",0,3,0,0,0,0,0,0,0,83,0,0,0,35,9,0,23,0
0,0,0,0,0,0,0,263,1708,0,0,8,56,0,7,0,0,11,0,0,0,0,21,0,8,0,0,0,0,0,0,0,5,0,3,0,0,0,0,379,0,443,0,0,80,0,40,0,0,2014,4,11,332,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,10,0,17,0,0,0,86,0,0,0,0,9,"Bega - Tathra",19,0,0,0,0,67,15,0,25,0,8,0,0,0,0,0,14,20,0,4,0,0,4,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,6,0,0,0,0,3,0,559,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,10,3,0,0,7,20,0,0,0,0,0,3,0,392,0,0,0,162,0,"101041019",0,0,0,0,0,0,0,0,0,486,0,0,0,234,14,0,101,0
0,0,0,0,0,0,0,45,406,0,0,0,19,0,0,0,0,17,0,0,0,0,11,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,88,0,167,0,0,45,0,10,0,0,549,8,8,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,9,0,0,0,22,0,0,0,0,0,"Bega-Eden Hinterland",3,0,0,0,0,21,4,0,14,0,0,3,0,0,0,0,7,12,0,10,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,126,0,0,0,41,0,"101041020",0,3,0,0,0,0,0,0,0,102,0,0,0,56,3,0,62,0
0,0,0,0,0,0,0,34,215,0,0,0,11,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,44,0,0,5,0,0,0,0,260,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,"Broulee - Tomakin",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,4,0,0,0,0,4,0,80,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37,0,0,0,31,0,"101041021",0,0,0,0,0,0,0,0,0,67,0,0,0,32,3,0,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Deua - Wadbilliga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101041022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
